Device (ID),Command ID,Element ID,Class Type,Arg ID,Value,Limit Min,Limit Max,Hints,,
ANTI_ICE_INTERFACE(60),3001,ROTOR-DEICER-AUTO-MAN-PTR,TUMB,109,-1,0,1,AntiIce AUTO/MANUAL,,
ANTI_ICE_INTERFACE(60),3001,ROTOR-DEICER-AUTO-MAN-PTR,TUMB,109,1,0,1,AntiIce AUTO/MANUAL,,
ANTI_ICE_INTERFACE(60),3002,ROTOR-DEICER-OFF-PTR,BTN,110,1,0,1,AntiIce OFF,,
ANTI_ICE_INTERFACE(60),3003,LEFT-ENG-HEATING-PTR,TUMB,113,-1,0,1,Left Engine AntiIce ON/OFF,,
ANTI_ICE_INTERFACE(60),3003,LEFT-ENG-HEATING-PTR,TUMB,113,1,0,1,Left Engine AntiIce ON/OFF,,
ANTI_ICE_INTERFACE(60),3004,RIGHT-ENG-HEATING-PTR,TUMB,112,-1,0,1,Right Engine AntiIce ON/OFF,,
ANTI_ICE_INTERFACE(60),3004,RIGHT-ENG-HEATING-PTR,TUMB,112,1,0,1,Right Engine AntiIce ON/OFF,,
ANTI_ICE_INTERFACE(60),3005,WINDSHIELD-DEICER-PTR,TUMB,111,-1,-1,1,Windshield Antiice LOW/OFF/HIGH,,
ANTI_ICE_INTERFACE(60),3005,WINDSHIELD-DEICER-PTR,TUMB,111,1,-1,1,Windshield Antiice LOW/OFF/HIGH,,
ANTI_ICE_INTERFACE(60),3006,WINDSHIELD-DEICER-OP-PTR,TUMB,675,-1,-1,1,Windshield Antiice LOW/OFF/HIGH,,
ANTI_ICE_INTERFACE(60),3006,WINDSHIELD-DEICER-OP-PTR,TUMB,675,1,-1,1,Windshield Antiice LOW/OFF/HIGH,,
ANTI_ICE_INTERFACE(60),3007,DEICER-KNOB-PTR,TUMB,114,-0.1,0,1,AC Voltmeter knob,,
ANTI_ICE_INTERFACE(60),3007,DEICER-KNOB-PTR,TUMB,114,0.1,0,1,AC Voltmeter knob,,
ARC_15_PANEL_O(48),3001,ARC-OP-VOLUME-PTR,LEV,634,0,0,1,ARC-15 Volume,,
ARC_15_PANEL_O(48),3002,ARC-OP-MODULATED-PTR,TUMB,635,-1,0,1,ARC-15 TLF/TLG,,
ARC_15_PANEL_O(48),3002,ARC-OP-MODULATED-PTR,TUMB,635,1,0,1,ARC-15 TLF/TLG,,
ARC_15_PANEL_O(48),3003,ARC-OP-MODE-PTR,TUMB,638,-0.115,0,0.345,ARC-15 mode OFF/COMPASS/ANT/FRAME,,
ARC_15_PANEL_O(48),3003,ARC-OP-MODE-PTR,TUMB,638,0.115,0,0.345,ARC-15 mode OFF/COMPASS/ANT/FRAME,,
ARC_15_PANEL_O(48),3004,ARC-OP-CH2-OUT-KNOB,TUMB,639,-0.058823529,0,1,ARC-15 Left Frequency,,
ARC_15_PANEL_O(48),3004,ARC-OP-CH2-OUT-KNOB,TUMB,639,0.058823529,0,1,ARC-15 Left Frequency,,
